id;name;description;state;currency
1;Tasty Plastic Tuna cross-platform connect;Concrete portals;FINISHED;KRW
2;generating;array hack Shoes;NEW;PLN
3;Bedfordshire copying;New Zealand Dollar;FINISHED;MYR
4;upward-trending hack;portals Checking Account Handmade Metal Towels;NEW;RON
5;Representative;success Prairie maximize;NEW;TRY
6;Montana mint green;Down-sized lavender;NEW;ISK
7;Vatu;Pakistan Computer;FINISHED;EUR
8;modular virtual;facilitate;FINISHED;JPY
9;Sleek Plastic Shoes Towels;Sleek;FINISHED;JPY
10;Incredible Rubber Keyboard Future;lavender Montserrat;NEW;USD
