id;name;description;state;cost;original_cost;date;currency_type;ticket;ticket_content_type
1;grid-enabled Generic Wooden Mouse;deposit synthesizing Graphical User Interface;FINISHED;65878;32699;2020-06-15T14:01:21;HRK;../fake-data/blob/hipster.png;image/png
2;program Small Indian Rupee Ngultrum;Intelligent Plastic Hat e-tailers;FINISHED;25262;7050;2020-06-15T15:32:50;NOK;../fake-data/blob/hipster.png;image/png
3;Investment Account;withdrawal Handmade Wooden Gloves;PENDING;75815;16503;2020-06-15T10:59:29;HKD;../fake-data/blob/hipster.png;image/png
4;Chicken Incredible Division;array Small Handmade;NEW;39585;56361;2020-06-16T03:26:14;THB;../fake-data/blob/hipster.png;image/png
5;Mills;plum Granite French Polynesia;NEW;86004;58405;2020-06-15T09:58:29;CNY;../fake-data/blob/hipster.png;image/png
6;evolve;Personal Loan Account;PENDING;85329;4875;2020-06-15T23:52:33;NZD;../fake-data/blob/hipster.png;image/png
7;Lempira portal;Money Market Account Yemen withdrawal;NEW;10164;6625;2020-06-16T06:41:09;CHF;../fake-data/blob/hipster.png;image/png
8;Configuration initiatives;Branding copy;NEW;85539;55198;2020-06-16T09:27:53;CNY;../fake-data/blob/hipster.png;image/png
9;Generic;payment;PENDING;59067;18227;2020-06-16T09:03:11;RUB;../fake-data/blob/hipster.png;image/png
10;Technician grid-enabled;deposit;NEW;86785;17765;2020-06-15T11:29:32;IDR;../fake-data/blob/hipster.png;image/png
